digital_numbers,french_numbers,english_numbers,korean_numbers,sino_korean_numbers
0,zéro,zero,doesn't exist,영 or 공
1,un,one,하나,일
2,deux,two,둘,이
3,trois,three,셋,삼
4,quatre,four,넷,사
5,cinq,five,다섯,오
6,six,six,여섯,육
7,sept,seven,일곱,칠
8,huit,eight,여덟,팔
9,neuf,nine,아홉,구
10,dix,ten,열,십
11,onze,eleven,열하나,십일
12,douze,twelve,열둘,십이
13,treize,thirteen,열셋,십삼
14,quatorze,fourteen,열넷,십사
15,quinze,fifteen,열다섯,십오
16,seize,sixteen,열여섯,십육
17,dix-sept,seventeen,열일곱,십칠
18,dix-huit,eighteen,열여덟,십팔
19,dix-neuf,nineteen,열아홉,십구
20,vingt,twenty,스물,이십
21,vingt et un,twenty-one,스물하나,이십일
22,vingt-deux,twenty-two,스물둘,이십이
23,vingt-trois,twenty-three,스물셋,이십삼
24,vingt-quatre,twenty-four,스물넷,이십사
25,vingt-cinq,twenty-five,스물다섯,이십오
26,vingt-six,twenty-six,스물여섯,이십육
27,vingt-sept,twenty-seven,스물일곱,이십칠
28,vingt-huit,twenty-eight,스물여덟,이십
29,vingt-neuf,twenty-nine,스물아홉,이십구
30,trente,thirty,서른,삼십
31,trente et un,thirty-one,서른하나,삼십일
32,trente-deux,thirty-two,서른둘,삼십이
33,trente-trois,thirty-three,서른셋,삼십삼
34,trente-quatre,thirty-four,서른넷,삼십사
35,trente-cinq,thirty-five,서른다섯,삼십오
36,trente-six,thirty-six,서른여섯,삼십육
37,trente-sept,thirty-seven,서른일곱,삼십칠
38,trente-huit,thirty-eight,서른여덟,삼십팔
39,trente-neuf,thirty-nine,서른아홉,삼십구
40,quarante,forty,마흔,사십
41,quarante et un,forty-one,마흔하나,사십일
42,quarante-deux,forty-two,마흔둘,사십이
43,quarante-trois,forty-three,마흔셋,사십삼
44,quarante-quatre,forty-four,마흔넷,사십사
45,quarante-cinq,forty-five,마흔다섯,사십오
46,quarante-six,forty-six,마흔여섯,사십육
47,quarante-sept,forty-seven,마흔일곱,사십칠
48,quarante-huit,forty-eight,마흔여덟,사십팔
49,quarante-neuf,forty-nine,마흔아홉,사십구
50,cinquante,fifty,쉰,오십
51,cinquante et un,fifty-one,쉰하나,오십일
52,cinquante-deux,fifty-two,쉰둘,오십이
53,cinquante-trois,fifty-three,쉰셋,오십삼
54,cinquante-quatre,fifty-four,쉰넷,오십사
55,cinquante-cinq,fifty-five,쉰다섯,오십오
56,cinquante-six,fifty-six,쉰여섯,오십육
57,cinquante-sept,fifty-seven,쉰일곱,오십칠
58,cinquante-huit,fifty-eight,쉰여덟,오십팔
59,cinquante-neuf,fifty-nine,쉰아홉,오십구
60,soixante,sixty,예순,육십
61,soixante et un,sixty-one,예순하나,육십일
62,soixante-deux,sixty-two,예순둘,육십이
63,soixante-trois,sixty-three,예순셋,육십삼
64,soixante-quatre,sixty-four,예순넷,육십사
65,soixante-cinq,sixty-five,예순다섯,육십오
66,soixante-six,sixty-six,예순여섯,육십육
67,soixante-sept,sixty-seven,예순일곱,육십칠
68,soixante-huit,sixty-eight,예순여덟,육십팔
69,soixante-neuf,sixty-nine,예순아홉,육십구
70,soixante-dix,seventy,일흔,칠십
71,soixante et onze,seventy-one,일흔하나,칠십일
72,soixante-douze,seventy-two,일흔둘,칠십이
73,soixante-treize,seventy-three,일흔셋,칠십삼
74,soixante-quatorze,seventy-four,일흔넷,칠십사
75,soixante-quinze,seventy-five,일흔다섯,칠십오
76,soixante-seize,seventy-six,일흔여섯,칠십육
77,soixante-dix-sept,seventy-seven,일흔일곱,칠십칠
78,soixante-dix-huit,seventy-eight,일흔여덟,칠십팔
79,soixante-dix-neuf,seventy-nine,일흔아홉,칠십구
80,quatre-vingts,eighty,여든,팔십
81,quatre-vingt-un,eighty-one,여든하나,팔십일
82,quatre-vingt-deux,eighty-two,여든둘,팔십이
83,quatre-vingt-trois,eighty-three,여든셋,팔십삼
84,quatre-vingt-quatre,eighty-four,여든넷,팔십사
85,quatre-vingt-cinq,eighty-five,여든다섯,팔십오
86,quatre-vingt-six,eighty-six,여든여섯,팔십육
87,quatre-vingt-sept,eighty-seven,여든일곱,팔십칠
88,quatre-vingt-huit,eighty-eight,여든여덟,팔십팔
89,quatre-vingt-neuf,eighty-nine,여든아홉,팔십구
90,quatre-vingt-dix,ninety,아흔,구십
91,quatre-vingt-onze,ninety-one,아흔하나,구십일
92,quatre-vingt-douze,ninety-two,아흔둘,구십이
93,quatre-vingt-treize,ninety-three,아흔셋,구십삼
94,quatre-vingt-quatorze,ninety-four,아흔넷,구십사
95,quatre-vingt-quinze,ninety-five,아흔다섯,구십오
96,quatre-vingt-seize,ninety-six,아흔여섯,구십육
97,quatre-vingt-dix-sept,ninety-seven,아흔일곱,구십칠
98,quatre-vingt-dix-huit,ninety-eight,아흔여덟,구십팔
99,quatre-vingt-dix-neuf,ninety-nine,아흔아홉,구십구
